categorie,official_name,longitude,latitude,address_txt,opening_hours,insee,id
france_travail,Agence France Travail LOURDES,-0.032536,43.099463,Boulevard du Centenaire 65100 Lourdes,Mo-Fr 08:30-12:30,65286,1d7e8e33-5104-4124-96dc-2c46ea3b6ea3
france_travail,Agence France Travail LORIENT VILLE,-3.388468,47.755754,2 Rue Alice Coléno 56100 Lorient,Mo-Fr 08:30-12:30,56121,1dc0282b-86a5-4d61-b6a4-26ea9c75b57d
france_travail,Agence France Travail LE MANS GARE,0.186881,47.994216,18 Rue Pierre-Félix Delarue 72000 Le Mans,Mo-Fr 08:30-12:30,72181,1deca385-9bb4-4001-a047-81f70fd80048
france_travail,Agence France Travail METZ GARE,6.173441,49.110779,3ter Rue Gambetta 57000 Metz,Mo-Fr 08:30-12:30,57463,1ded105a-3d24-4fe1-9921-d4f6f82c0924
france_travail,Agence France Travail Paris 6 et 14ème Jean Moulin,2.324657,48.826144,9 Rue Friant 75014 Paris,,75056,1e24e7c5-b177-44e5-99ce-361b0dbb240e
france_travail,Agence France Travail AGDE,3.480575,43.301566,82 Chemin de Janin 34300 Agde,Mo-Fr 08:30-12:30,34003,1e5b31df-fd4b-4dc8-8f5b-e92e9d646a70
france_travail,Agence France Travail Yerres,2.482645,48.706979,2 Place de la Gare 91330 Yerres,,91691,1e6039aa-f2db-4976-b8a8-532eb1bc8b83
france_travail,Agence France Travail LYON VAISE,4.80112,45.768773,29 Avenue Joannès Masset 69009 Lyon,Mo-Fr 08:30-12:30,69123,1f09b69b-90af-488c-95ea-cd64878a0ec7
france_travail,Agence France Travail AVESNELLES,3.924051,50.115956,ZONE D ACTIVITE DU CHATEAU D EAU  20 Route d'Haut-lieu 59440 Avesnelles,,59035,1f4198e6-4b8e-4f09-b289-bc4b05c4143f
france_travail,Agence France Travail BARENTIN,0.970202,49.535531,Boulevard de Normandie 76360 Barentin,Mo-Fr 08:30-12:30,76057,1f72a073-2dce-4fe1-9f27-88f0dae3edd6
france_travail,Agence France Travail Pontault-Combault,2.627575,48.799068,Z I  DES 50 ARPENTS  50 Rue du Pre des Aulnes 77340 Pontault-Combault,,77373,1fbf14ce-35f9-41ac-b604-381284f9e147
france_travail,Agence France Travail MARSEILLE BLANCARDE,5.406673,43.29551,20 Place de la gare de la blancarde 13005 Marseille,Mo-Fr 08:30-12:30,13055,1fd02e39-485a-4c20-a73d-54e8594f98c4
france_travail,Agence France Travail VILLEURBANNE,4.874245,45.77326,41 Rue Colin 69100 Villeurbanne,Mo-Fr 08:30-12:30,69266,2024e17b-df1f-4b13-91fc-06fe332f83c6
france_travail,Agence France Travail Montreuil sous Bois,2.424932,48.850983,7 Rue des Longs Quartiers 93100 Montreuil,,93048,20e22858-93eb-4c2d-9dfc-57f2df68b2c8
france_travail,Agence France Travail LE MARIN MONTGERALD,-60.873709,14.472839,QUARTIER HABITATION MONTGERALD 97290 Le Marin,Mo-Fr 07:30-12:00,97217,211b990c-22db-42e6-9364-99960937510e
france_travail,Agence France Travail MONTDIDIER,2.58862,49.646448,ZAC de l'Epinette  8 Rue de Marthe 80500 Montdidier,Mo-Fr 08:30-12:30,80561,21b4d59b-c878-41e9-b289-08fa9bcc8ad7
france_travail,Agence France Travail MELLE,-0.131927,46.226226,3 Rue des Petits Champs 79500 Melle,Mo-Fr 08:30-12:30,79174,21c500da-4356-4cd5-8b5a-8d0839f0e249
france_travail,Agence France Travail BAPAUME,2.851172,50.105158,6 Rue de Douai 62450 Bapaume,,62080,228acf22-4d21-47ff-895f-e22bca886596
